idCAS,label
50066,429.021260171
50077,443.775427249
50215,374.544698545
50282,341.23351081
50293,429.250924561
50306,469.05461624
50317,509.631667919
50339,355.104533843
50500,359.988444069
50782,379.958599124
50793,469.05461624
50817,482.16712189
50851,376.896878968
50895,427.272192916
50997,390.865074723
51127,369.427402035
51172,369.674152153
51285,438.95043859
51365,469.05461624
51445,469.05461624
51558,352.752009723
51661,336.782874618
51796,324.92505551700003
51989,350.0831803000001
52437,356.841473865
52788,342.56781450200003
53190,406.22832692699996
53861,410.450523056
54853,374.254479016
55210,342.437092373
55221,394.65703688400004
55630,465.82971694099996
56188,282.017019233
56291,403.270574735
56531,325.12311114700003
56553,346.992090465
56757,436.399022105
56815,376.52546554599996
56859,367.662893082
57067,374.097388567
57103,244.57694752400002
57114,239.68061173799998
57136,386.95316172
57147,277.95253278900003
57158,437.062989614
57249,400.77330549699997
57432,376.731479223
57443,420.855134543
57501,451.632761191
57534,363.510477099
57556,320.77842028600014
57578,420.347535199
57636,338.441712274
57681,389.95790371
57749,523.688037343
57830,331.975035819
57874,303.890187799
57885,274.371305555
58208,329.072100169
58220,347.278440195
58275,386.31120592300005
58559,435.413372156
58720,319.017278654
58866,431.725695395
58899,506.391799058
58902,495.550830127
59494,420.09090795199995
59507,368.679943866
59676,416.587483472
59870,448.982314705
59927,480.365408039
60093,348.023856729
60117,334.75455348000014
60128,314.105048808
60333,277.681083386
60355,319.783406549
60571,539.694732609
60800,361.403013424
61687,335.824634656
61825,433.77069611800005
62237,437.250671149
62442,327.939615737
62908,338.94024806
63252,360.36785571900003
63741,408.384937817
63912,345.228840125
64108,357.634905996
64675,362.06019547
64697,854.1600847510001
64777,362.58364311800005
65236,379.15209893800005
65452,372.228484073
65714,528.904455002
65850,352.42111699
66228,493.020162477
66568,437.904511385
66717,390.630622976
67470,411.165458005
67527,592.250938026
67685,343.891175192
67710,379.02805376699996
67721,553.62201863
68111,532.388928481
68224,351.270544475
68359,414.51455908300005
69658,393.52348411400004
69727,405.88610089400004
70111,448.80947012400003
70304,474.817866742
70473,386.878477306
70553,384.449301195
71556,464.41951031800005
72140,448.097772997
72333,331.135033121
72435,380.97647675800005
72548,406.218517164
72559,409.04462023599996
72560,328.535016695
74113,435.45531958199996
75252,1024.83213507
75263,462.15905846699997
75274,702.313189735
75309,591.530933384
75332,289.90083801099996
75354,444.292454697
75365,387.62962963
75445,529.272700568
75478,1266.19533302
75503,232.72440106
75558,279.592456873
75616,891.8598836129999
75627,700.3395595210001
75638,757.812771501
75661,282.448075842
75810,720.318016537
75843,262.842606726
75854,270.490278999
75898,475.252198561
75989,289.363127701
76006,446.054087721
76017,546.919726526
76028,543.319560405
76039,518.2456303390001
76062,555.720604344
76095,302.102511398
76119,578.629795017
76120,567.985904374
76175,576.638842515
76222,324.610355738
76299,408.56339401699995
76324,387.092805284
76391,348.35876414800003
76448,520.168381021
76573,382.37604836099996
76733,336.326040932
76744,358.28553655
76835,342.27579427
76846,328.390006759
76937,360.09298204699996
77098,400.362500295
77214,358.29541503800004
77281,389.192254305
77496,373.77649337699995
77601,331.928132574
77714,408.509472781
77736,313.59052064900004
77747,271.882070224
77781,414.222444364
77792,415.553339677
77850,333.048136859
77861,360.658160834
77996,323.95657189400004
78104,281.998469671
78115,456.79613283099997
78273,301.276464215
78717,410.791260655
78740,880.873074125
78762,427.358327337
78773,428.986321907
78795,246.807971356
78819,256.268392495
78820,257.64935347700003
78842,278.71812914099996
78864,306.003305785
78900,301.08448136
78966,306.26748286599997
78977,302.272197845
79005,462.377816291
79016,503.77257467
79038,357.9187620890001
79049,475.725169457
79050,308.576549276
79061,337.090753388
79083,649.911361191
79107,337.614584477
79118,443.24748932
79141,399.217847769
79163,298.95705521500014
79243,327.089324619
79276,978.8090320169999
79301,345.377633712
79312,298.000721946
79334,394.379235211
79345,524.795459192
79390,319.357847418
79414,318.578722265
79425,385.25952813099997
79436,538.155867311
79469,324.725111287
79470,600.274272582
79925,281.201947163
80057,335.296928809
80079,423.22206956599996
80080,386.581227786
80433,312.585629353
80466,293.436282088
80488,385.64336186099996
80568,278.098756536
80591,312.377535101
80626,313.519060603
80922,316.490926925
81152,384.37359446
81209,331.771178747
81254,348.22245266
81641,430.101972845
81845,438.13931508900004
81969,451.272238911
82053,383.333686694
82440,420.15039109599996
82622,498.30350420400003
82688,518.897062751
82713,480.08147098800004
82860,439.20783571699997
83056,398.233496515
83249,315.15576336100014
83261,352.386118179
83329,325.470126951
83330,339.980507511
83341,331.134651774
83385,422.49498212099996
83409,391.258568531
83410,342.764106465
83465,295.027629
83487,297.347571278
83794,389.87233356699994
84117,409.137811351
84151,312.325898423
84548,380.437460493
84651,365.504396891
84662,323.717021692
84742,284.486868883
85018,325.352395607
85029,352.099323769
85290,392.97075862
85347,477.736089
85416,458.5138091
85449,492.263259869
85529,372.06117735
85552,362.47345748199996
85983,329.88322065200003
86000,353.219574045
86282,322.131650391
86306,360.982799364
86533,326.630214476
86555,365.38299275300005
86577,371.375909042
86737,339.734450137
86748,338.32520843
86862,342.634200309
86873,378.971537926
86895,283.11765544900004
86953,400.886396216
86986,420.89535154099997
87058,376.13669009
87105,626.472714664
87252,333.171328034
87478,371.43422672699995
87592,302.881783887
87616,449.09875399599997
87627,302.881783887
87650,432.929428485
87661,402.157291517
87821,788.4060262160001
87854,280.348555435
87865,516.351880861
87898,414.50094757
87912,329.20827473099996
87978,293.205551812
87990,388.077856556
88051,289.201189271
88062,463.895929241
88095,283.585272606
88131,479.735044533
88142,408.32058287800004
88153,373.845925926
88164,458.317829927
88186,301.318297116
88197,384.047372008
88302,477.356876755
88584,303.61178242
88608,294.53912995900004
88653,518.117863985
88675,664.808479841
88697,310.177258812
88722,355.387556905
