idCAS,label
50066,3745.38007368
50077,2257.18557848
50282,2121.94604067
50293,1948.9411892
50306,3485.26494401
50317,3347.38201142
50328,2608.40260381
50339,1886.66933761
50500,1418.9029137
50782,3135.80516752
50793,3485.26494401
50817,5614.72559283
50851,3689.33384947
50895,3138.02534431
50997,3283.36459838
51127,2564.96094716
51172,3454.24631031
51285,3279.41849801
51365,3485.26494401
51445,3485.26494401
51558,1772.58019996
51661,3635.71927995
51989,1663.25588327
52437,3428.57849937
52788,1856.30664404
53190,2112.07702575
53861,1794.50899843
54853,4983.49801871
55210,5009.47223027
55221,4599.80264001
56188,3243.43880571
56291,2936.85071115
56531,1920.49469692
56757,2149.3225177
57136,9575.978584560002
57147,5633.29245788
57158,3970.50864381
57249,2096.52280309
57432,2887.40200519
57443,4000.70252336
57501,2144.69292145
57534,2622.64621273
57578,5990.66414899
57636,1871.67831018
57681,2544.45745193
57749,2238.2615804
57830,1671.42577298
57874,984.191500633
57885,1078.51305405
58208,1189.06064209
58220,2019.94697639
58275,3598.79029062
58866,3721.05851142
58899,2603.29858139
58902,3463.39273301
59494,5735.18372527
59507,4079.12394987
59676,4599.80264001
59870,4351.86844365
60093,3661.22615076
60117,2827.38397522
60333,1235.70392356
60355,6596.85795422
60571,2520.12064322
60800,3163.06803216
61825,10205.586319
62237,3714.46247733
62442,3199.53024021
62908,1280.99429753
63252,3129.21822578
63741,4339.84199808
64108,5019.50396813
64675,3588.28013915
64697,5544.31599496
64777,2223.43162888
65236,3909.00070125
65452,4868.52665373
65714,5747.91594937
65850,3860.61287147
66568,3279.41849801
66717,3774.25832773
67470,5235.81043015
67527,6841.43804291
67663,5471.55491978
67710,6888.48661207
67721,3419.94114026
68111,6328.91764749
68224,2117.77856041
68359,3103.58578638
69658,3738.76593576
69727,4200.12795164
70111,3810.3947568999997
70304,2092.45108401
70553,3797.41162501
71556,4483.08277763
72140,3294.27105091
72333,1690.73397134
72435,1771.3544167
72548,2105.12829329
72559,2117.00151252
72560,1678.06609916
74113,3822.5612085999996
75263,4388.71666635
75274,5220.62023716
75309,5248.95040794
75332,4551.69667147
75354,5260.24360963
75365,5220.68896388
75445,4531.245093199998
75478,4443.5181302
75558,7156.100382180001
75616,4140.93072595
75627,4466.58652074
75638,3970.84090379
75661,4555.48557835
75694,4428.81931283
75730,3760.76187748
75810,4016.5121863000004
75843,3738.63456441
75989,3768.64853116
76006,4339.66743953
76017,3835.53174647
76028,4198.70546644
76039,4358.84664184
76062,3653.41833296
76095,3273.57938924
76119,3388.73102533
76120,3464.44397665
76175,2747.58535537
76222,3082.99325349
76299,2884.3014395
76324,3265.30612245
76391,4571.55187271
76448,2369.19027568
76573,2205.49589903
76733,2696.76887365
76744,2887.40200519
76835,2085.36589152
76846,1975.37184638
76937,2520.95265791
77098,2181.93825932
77214,3121.00121719
77281,3213.31466833
77496,3999.17621421
77601,1236.3482427000001
77714,5462.66297172
77736,3364.5383045999997
77781,5070.85193331
77792,6354.89927143
77850,4432.46393547
77861,5109.53425498
77996,3845.04088044
78273,4468.24330121
78717,4000.70252336
78740,4612.26378798
78762,3841.83455428
78773,3867.38516553
78795,3843.20595052
78819,4294.28568748
78820,3815.10330727
78864,3488.40890574
78900,5020.50744483
78966,5233.23523306
78977,4883.38238691
79005,5383.27956373
79016,4965.14635885
79038,4565.376187
79049,5266.25214022
79050,5622.39307867
79061,6098.14886988
79083,5495.10633306
79107,5486.82969513
79118,5422.51123002
79163,4890.21468042
79243,4616.031052800001
79276,4186.65482245
79301,4067.31570179
79334,5346.44079425
79345,5552.16237755
79390,4793.85047006
79414,4367.88658891
79469,3944.94103644
79470,3005.73183228
79925,2884.3014395
80057,2379.50578723
80079,2761.63834151
80080,3111.40015716
80433,1625.42146592
80466,2774.8791695
80488,3265.32193055
80568,3031.14749274
80922,1484.77903226
81152,2358.77929397
81209,3162.93478328
81254,1169.99355467
81641,2918.57268311
81845,4069.90115813
81969,2898.1295744000013
82053,3155.00852744
82440,3210.21339591
82622,3040.06133171
82688,2813.96850879
82713,2613.36484436
82860,4177.71417009
83056,2222.83146632
83249,3109.17678965
83261,2503.84110103
83329,3201.87291906
83330,4497.97453892
83341,4445.19765926
83385,3561.42429777
83409,3689.33384947
83410,3162.93478328
83465,959.100041903
83487,990.753397615
83794,1582.27730187
84117,3418.58544279
84151,2858.59211805
84548,3105.82581592
84651,3177.42878317
85018,2737.18904943
85290,2669.10154712
85347,3372.35826315
85416,5282.25603158
85449,4756.69236807
85529,2628.61918143
85552,2404.55461301
85983,2206.21928805
86000,2716.97058159
86282,3176.35076503
86306,3486.31669074
86533,3058.12984296
86555,3491.99460445
86577,3358.80371484
86737,3302.16127181
86748,3978.2967755000004
86862,3575.40658718
86873,3064.55628323
86895,2308.23237653
86953,4374.83231038
86986,3681.86535872
87058,3074.44243975
87105,2250.50497962
87252,3293.17536479
87478,2481.40496313
87581,2384.89235538
87592,3581.10217582
87616,3891.54903272
87627,3724.63055689
87650,4111.12693561
87661,5484.2686748000015
87821,2542.48876364
87854,2579.48335916
87865,3267.47784291
87912,2241.12053833
87978,1771.14439343
87990,4346.87337681
88051,3425.06483294
88062,3729.42429498
88095,3283.43290021
88131,5527.8395821
88153,4646.64797785
88164,2966.5707316
88186,2950.44984301
88197,3754.11255969
88302,2979.54274826
88584,2076.23593328
88608,2665.44527139
88653,3735.41490668
88675,4027.13860564
88697,3316.32097663
88722,3418.08922358
88733,3357.31518104
88744,4315.9722825
88755,3688.09296516
88824,3033.03201008
88857,2123.90577135
88880,2428.20789903
89054,3293.50087465
89327,4441.31203511
89565,3689.33384947
89598,3316.74151735
89601,3316.74151735
89612,3394.67621804
89623,3564.40275924
89645,3748.04238868
89678,3685.53079905
89714,3253.93763066
89725,2952.28056251
89747,3095.69597642
89781,2659.77182881
89838,2857.69942519
89861,4159.08375082
89872,3111.57765565
89963,3379.56886635
89985,3378.98622479
90006,3794.66474585
90028,3896.34399366
90051,4135.58001201
90119,3683.90416102
90120,3595.81949323
90131,3705.97166371
90142,3996.44062292
90153,4107.34511809
90335,3829.74200435
90415,3266.80694793
90426,2698.6001011999997
90437,3132.47345478
90448,3413.5963775
90471,3468.91558628
90642,3609.01452648
90802,5972.16017811
90891,2343.66686171
90982,2677.74399028
90993,2815.44770144
91010,2826.32338809
91021,3699.95441656
91134,3155.2407363
91156,3380.2055164999997
91167,3504.18486739
91190,4598.55741087
91225,4610.20599628
91236,3361.98337996
91441,2447.30414147
91496,2500.22559856
91521,3132.05599555
91565,5541.730869200002
91576,3437.09876232
91587,3664.85893702
91598,4036.92869991
91623,3868.64942489
91634,3977.35284872
91645,4845.00250175
91667,2925.00206944
92035,2847.45434694
92513,2831.86411347
92557,2296.84035391
92660,3067.38114949
92671,3246.69816369
92693,3311.55788316
92717,2741.47725575
92820,3693.39981702
92842,3574.37170594
92853,3258.8688114
92864,2785.97639767
92875,3230.08506825
92886,3291.8108435
92922,2843.49659206
92933,2742.95740036
92944,2403.14294593
93072,3132.05599555
93083,3350.04708804
93094,3491.99460445
93174,2668.02131002
93221,2263.95235038
93356,4428.16433637
93378,3325.05505993
93447,2411.61041156
93527,4039.49421677
93550,3764.17024061
93561,3952.02480252
93583,3898.68314749
93607,3714.46246775
93652,2563.0296442
93721,2378.67427582
93765,3306.7459933
93801,2280.93700686
93914,3376.27847005
93970,2979.53891039
93981,3348.9797668
93992,2785.74020741
94097,3293.17536479
94122,2942.45407838
94133,2967.6516443000005
94257,2652.0329276
94268,2672.69606538
94417,2826.32700999
94622,2056.39596308
94746,2875.89303593
94757,3059.78893226
94815,2360.16703457
94826,2488.80751486
94995,3493.05006525
95136,4045.54890534
95158,4627.12436409
95169,4605.70213225
95205,4414.65950836
95465,3861.46632201
95498,3749.60644695
95501,4387.38605452
95512,4641.1310090000015
95523,3913.79188672
95534,4440.24370495
95545,5147.08789096
95556,5271.47476872
95578,4380.4963429
95647,3880.11180113
95681,3739.71230278
95716,4576.70647669
95750,3707.55834024
95761,4426.25075288
95772,4337.9627553
95783,3880.11180113
95829,4237.19856472
95874,3815.57610419
95943,3541.86821593
95954,3773.22166915
95965,4056.95971439
96015,3191.93079894
96117,3949.08167486
96264,6488.32318674
96297,3857.87585356
96311,4980.35498974
96333,4135.60653839
96344,4227.53614121
96399,4165.515815
96435,5132.58644449
96491,6141.84215957
96548,3508.89591196
96764,2084.66713299
96800,2829.33454052
96913,3196.77088849
96980,3011.1040804
97007,3039.77444871
97029,3241.16079947
97303,3410.72040706
97541,2964.13723345
97654,4060.05296099
97858,2483.91084075
97881,2619.37779935
97961,3411.87003232
98000,5390.70785711
98011,5382.80055271
98077,3668.64639055
98088,2724.84684711
98102,4326.8690708
98180,4319.18464377
98191,2320.93638879
98293,3179.37262661
98511,2582.32266653
98522,2499.36891773
98533,2715.5015219
98544,3033.35453707
98555,2808.38209121
98737,2648.26160571
98839,3976.74622551
98873,3251.85337121
98884,4057.27158016
98895,3925.85473709
98920,5739.35959257
98953,3810.75164703
98964,6070.77124535
98975,6141.84215957
98986,4599.80264001
99047,3675.73264235
99069,4205.37713798
99081,3329.05292728
99092,4098.66688252
99105,4159.08375082
99207,2125.52499171
99309,3770.75037927
99354,2686.95195829
99365,3253.93763066
99514,3162.93478328
99525,3564.40275924
99547,3443.86676556
99592,3444.63280465
99616,3440.83162149
99627,2316.71401071
99650,3486.88270682
99752,3246.88925338
99763,3773.79288088
99898,3403.51664459
99912,3711.81690469
99923,3987.25232975
99934,4035.32100948
99945,3649.89146311
99967,4200.12795164
99978,3228.83664131
99990,3485.56467986
100005,3735.95587058
100016,4315.9722825
100027,4095.70322062
100061,3440.58877749
100072,3486.25480617
100094,3588.41199852
100107,3096.16650811
100118,3855.43778172
100152,3667.84952926
100174,3361.98337996
100196,3245.37913455
100221,2818.85579642
100232,3051.48191377
100254,3655.29500164
100298,2887.06495079
100390,4010.40379524
100447,3510.27013802
100481,4522.49466233
100505,4031.24212648
100527,3967.39983651
100549,4522.49466233
100618,4183.89735059
100630,5139.60284454
100641,3945.60743416
100652,4857.02994002
100709,4522.49466233
100710,3651.12500109
100765,4217.95811205
100801,3434.87893158
100834,4313.34584495
100845,3591.32513657
101053,3007.55564488
101202,2478.5404685
101213,2682.21507001
101279,2576.2886489
101371,2522.6527914000008
101428,3576.91823836
101542,3297.12320967
101553,2829.69627844
101633,2285.65759784
101779,2857.80300008
101804,3033.50358546
101848,3337.12163
101995,3329.68289099
102045,2676.3092304
102067,2535.36730012
102078,3024.67339599
102090,2680.0328379000002
102250,2376.81772172
102692,2329.27337966
102716,3586.77767023
102761,2235.05156273
102874,515.702797009
102965,3294.28412545
103004,2751.35910445
103173,2444.13944888
103264,3121.00121719
103297,2611.85990591
103300,2832.58153424
103322,2856.12626585
103333,3584.00541217
103366,2811.36104736
103491,2499.96972207
103639,4017.67856308
103695,3708.97319303
103708,4615.13468809
103797,3427.44152837
103844,4010.84371707
103899,3722.16851028
103902,4226.70659592
104018,3107.6943323
104041,3409.05142899
104416,1381.84845886
104461,3085.15176491
104552,3399.76981683
104712,2063.88232003
104814,3448.66338067
104858,3480.65192611
104881,3899.82571622
104938,3598.88241177
104949,4354.73854281
105066,3415.16363039
105135,3644.82309139
105168,2048.2484167
105340,3801.00376908
105384,3773.89438537
105431,3306.74793823
105533,2838.38455857
105566,3388.08019179
105588,3165.49113013
105602,4621.41164716
105679,3819.48596848
105759,1863.02428602
105806,1243.06974435
106025,2175.45667186
106183,1371.43492129
106309,2318.09700894
106310,2718.33385707
106321,2127.8355199000002
106332,1563.50926143
106354,3131.05958434
106387,3872.28271893
106398,4081.15966185
106401,4403.77723865
106412,4708.24220168
106434,2356.28890529
106467,3577.40153885
106478,4864.76036942
106489,4824.0935056
106490,4134.59629152
106503,5183.72884957
106514,5450.14579022
106581,2918.62328963
106707,2832.61638319
106730,3083.7467301999995
106887,4700.52705881
106898,5768.11427319
106945,4249.61201042
106956,4847.62314732
106990,4292.36587239
107006,6499.5721698
107028,5097.20518458
107040,5210.80970097
107051,4873.26367534
107073,5962.94029829
107084,5353.33421421
107197,6190.26080486
107222,6278.86709145
107299,4938.44475535
107391,2787.31819395
107404,3033.61913921
107506,1010.61343729
107619,5660.32741625
107915,5194.19971581
107948,4730.10941689
108010,4222.04391281
108032,3890.16285866
108134,6998.01084352
108305,5670.27144723
108316,5990.66414899
108361,4174.14952609
108372,4072.06696777
108418,3886.16725226
108429,4848.04973778
108441,4394.7976712
108452,5190.95248893
108474,3905.07157906
108485,3842.83124468
108576,3231.29290827
108689,3862.65441996
108690,3730.88727106
108703,3767.07621088
108736,5287.69768691
108758,3417.26004788
108770,4436.68798926
108781,6836.04373672
108838,2492.51684131
108850,4010.4567225999995
108861,4547.43957091
108918,4039.60865192
108985,5154.75252818
108996,4680.02162022
109035,5922.03102308
109057,3855.69877263
109091,5080.24501006
109217,2347.01766495
109295,2038.22694638
109433,1196.61222848
109557,3585.64293382
109568,3592.48216426
109648,4455.00032033
109659,3853.63803296
109682,3690.96849537
109693,4022.97848751
109706,4544.98194069
109773,4130.29255688
109933,4265.95201886
109977,7092.34712974
110032,2561.31769188
110145,5816.40288876
110189,2881.16637167
110214,7640.96043816
110349,1069.69552001
110361,1214.7647494
110383,1813.01182985
110394,1803.64613303
110429,1971.49412877
110521,3961.60743264
110532,3481.56777853
110565,4040.59840281
110576,4411.70197343
110587,3791.64729492
110612,3664.20627429
110656,5922.45335462
110667,3557.53215686
110678,3587.75408493
110689,3522.0878936999998
110816,3687.15998212
110883,5962.94032587
110918,5503.26233391
111068,1086.13114523
111115,2327.11834186
111137,2704.21633298
111240,3275.09344668
111251,3131.87080403
111262,3384.13926869
111284,4072.50781566
111295,4470.43727832
111319,3153.47065002
111422,4914.42748081
111444,3909.00183714
111477,3032.37835524
111488,4659.45010947
111535,2756.46455119
111591,1049.8962489
111615,1086.13114523
111626,1069.35053765
111648,2603.08204915
111671,2673.54230453
111682,3038.9630149
111693,2940.88584187
111784,3782.32564613
111820,1727.54443957
111831,2546.50649366
111864,2744.02537182
111886,2611.55834267
111944,2982.79434737
111966,2937.69875368
111977,2995.86959459
112061,2250.57429701
112107,1010.39124549
112118,1030.79748859
112129,2122.33190802
112141,2128.52972747
112174,1749.27587314
112185,1494.19445079
112298,2098.60045862
112323,2438.65264441
112367,2410.00499112
112389,2111.34069225
112390,1313.41882472
112447,2066.11570248
112470,2416.34124302
112492,2370.27710436
112549,1896.95152302
112618,1157.51615008
112629,1170.54350199
112630,1203.71796924
112663,1562.14062206
112674,1343.72769412
112696,1230.59281655
112710,1550.13234682
112754,1296.72599313
112765,1172.82792269
112798,1237.43937462
112801,1237.43937462
112823,1382.83810031
112867,982.79950218
112890,1228.8493902999999
113008,7613.50219411
113382,1274.4639009000002
113597,1936.64096428
114261,2482.37752703
115184,4067.31593394
115195,4599.44495638
115208,4945.392831100001
115322,1980.0401194
115333,1535.42390379
115695,4898.56501645
115764,3234.92068879
115775,4549.71567675
115844,2552.80729637
116063,2654.29341249
116290,2427.37115945
116541,4193.62388192
117180,3107.11346708
117215,4657.47018392
117260,1700.03608448
117271,1835.18069975
117340,2486.99302912
117395,3941.1654041999996
117522,2821.62037488
117793,3426.83901844
117806,3450.21673176
117997,2830.42448263
118412,2909.24663313
118456,4661.42704692
118558,2519.44592207
118581,2297.71924483
118616,3017.23496866
118741,3134.41266463
118752,3538.41135574
118796,3731.27205071
118821,979.952765748
118901,3660.57259594
118912,3838.71034304
118934,4035.32100948
118967,2368.53360184
119266,3894.15225789
119277,2889.98447897
119324,3564.40275924
119368,3490.01976345
119426,2756.93135951
119528,2105.14582965
119539,2615.13073274
119653,5116.58441048
119675,3507.97755574
119755,2577.23442739
120127,2600.99115102
120230,2990.76651519
120296,3572.71170624
120365,2646.00752183
120467,2859.67571277
120514,2551.00716482
120570,4049.08640817
120616,2799.40941243
120661,3680.4715265
120672,3096.04226872
120729,5120.77889187
120809,5424.98522139
120821,3579.33620926
120832,4337.9627553
120898,7721.74536155
120934,6852.76961537
120945,4095.37751397
121142,2907.47931438
121324,3144.18352896
121335,3588.01944028
121346,3588.99574837
121448,3152.33261555
121460,4470.10546426
121528,3465.36428519
121711,4041.31115516
121733,3442.54233726
121879,3687.96702641
121891,3249.54948275
121926,3541.836322500001
122009,3463.08841453
122043,3365.18321452
122281,3394.56607995
122349,3920.93973947
122394,3206.22266859
122429,3015.64425772
122510,2676.3092304
122576,3361.28858836
122601,3482.46600068
122623,751.307127505
122667,3234.90479435
122883,3184.41856575
