idCAS,label
50000,418.0
50066,1062.0
50077,992.0
50215,680.0
50282,921.0
50293,891.0
50306,789.0
50317,813.0
50339,959.0
50500,947.0
50691,771.0
50704,858.0
50715,1081.0
50782,797.0
50793,789.0
50817,1115.0
50851,805.0
50895,963.0
50997,823.0
51127,1214.0
51172,497.0
51183,976.0
51207,945.0
51218,858.0
51285,847.0
51365,789.0
51445,789.0
51558,821.0
51649,678.0
51661,863.0
51796,681.0
51809,527.0
51989,878.0
52017,992.0
52437,1005.0
52788,851.0
53167,926.0
53190,896.0
53861,1019.0
54115,745.0
54206,729.0
54422,1025.0
54853,853.0
55185,652.0
55210,834.0
55221,771.0
56188,701.0
56291,987.0
56531,903.0
56553,986.0
56757,987.0
57136,693.0
57147,519.0
57158,615.0
57249,969.0
57432,990.0
57443,998.2
57487,851.0
57501,989.0
57534,873.0
57578,686.0
57636,922.0
57681,970.0
57749,928.0
57830,882.0
57874,868.0
57885,877.0
58082,725.0
58208,914.0
58220,854.0
58275,845.0
58559,710.0
58617,839.0
58639,826.0
58720,941.0
58866,771.0
58899,759.0
58902,787.0
58957,924.0
58968,997.0
59029,884.0
59143,1004.0
59234,823.0
59314,934.0
59483,896.0
59494,870.0
59507,739.0
59676,771.0
59870,1085.0
60015,757.0
60093,1045.0
60117,998.2
60242,622.0
60275,724.0
60333,796.0
60344,565.0
60355,759.0
60571,893.0
60800,840.0
61825,859.0
62237,813.0
62442,859.0
62759,641.0
62908,933.0
63252,891.0
63423,950.0
63741,888.0
64040,703.0
64108,917.0
64119,694.0
64675,679.0
64697,688.0
64777,910.0
65236,892.0
65452,870.0
65463,904.0
65714,882.0
65850,752.0
66228,896.0
66568,847.0
66717,892.0
67470,726.0
67516,733.0
67527,1051.0
67710,768.6
67721,679.0
68111,657.0
68224,863.0
68359,967.0
68940,556.0
69658,909.0
69727,794.0
69896,761.0
69932,1008.0
70111,777.0
70291,722.0
70304,1019.0
70553,824.0
71307,772.0
71556,546.0
72140,998.0
72208,897.0
72333,903.0
72435,893.0
72480,948.0
72548,893.0
72559,877.0
72560,864.0
73245,613.0
73405,721.0
74113,769.0
74839,458.0
74884,527.8
74953,595.0
74975,552.0
75025,329.0
75036,553.6
75116,703.0
75127,762.0
75263,519.1
75274,580.0
75309,574.7000000000003
75332,512.7
75354,492.0
75365,512.0
75445,440.0
75478,859.0
75558,561.0
75616,469.0
75627,595.0
75661,534.0
75810,682.0
75821,583.0
75843,559.9
75865,609.0
75876,571.0
75912,568.0
75989,619.0
76006,632.0
76017,668.0
76039,689.0
76062,587.0
76095,624.0
76119,548.0
76120,560.0
76175,513.0
76222,703.0
76299,751.0
76324,777.0
76357,670.0
76368,639.0
76379,540.0
76380,560.0
76391,683.0
76415,970.0
76448,885.0
76493,698.0
76573,939.0
76675,784.0
76733,998.9
76744,998.7
76835,938.0
76846,857.0
76937,897.0
77098,1039.0
77214,998.0
77281,996.0
77496,789.0
77601,909.0
77714,844.0
77736,709.0
77758,586.0
77770,786.0
77781,681.0
77792,834.0
